Report Generated:
 Time		Package No.		Truck No.		Action		     Location		       Arrival Time 
  1		50			1			dispatched		    Orlando				2
  2		49			2			dispatched		    Tampa				3
  2		50			1			delivering		    Key West			    10
  3		48			3			dispatched		    West Palm			    8
  3		49			2			delivering		    Tallahassee			    9
  4		47			4			dispatched		    Tallahassee			    11
  5		45			5			dispatched		    Miami				10
  5		46			6			dispatched		    Key West			    14
  6		44			7			dispatched		    Ft. Myers			    8
  8		48			3			delivering		    Ft. Myers			    11
  8		44			7			delivering		    Key West			    16
  9		none			2			idle		    Tallahassee			    9
  10		none			1			idle		    Key West			    10
  10		45			5			delivering		    Orlando				15
  11		none			3			idle		    Ft. Myers			    11
  11		47			4			delivering		    Lake City			    13
  11		42			3			dispatched		    St. Augustine			    16
  12		40			2			dispatched		    Lake City			    14
  13		none			4			idle		    Lake City			    13
  14		40			2			delivering		    Tallahassee			    16
  14		46			6			delivering		    St. Augustine			    22
  15		none			5			idle		    Orlando				15
  15		43			5			dispatched		    Tampa				16
  15		38			4			dispatched		    Miami				22
  15		36			1			dispatched		    Gainesville			    24
  16		none			7			idle		    Key West			    16
  16		none			2			idle		    Tallahassee			    16
  16		43			5			delivering		    Jacksonville			    20
  16		42			3			delivering		    Key West			    24
  16		35			2			dispatched		    Miami				25
  16		41			7			dispatched		    Tallahassee			    28
  20		none			5			idle		    Jacksonville			    20
  20		39			5			dispatched		    Tallahassee			    23
  22		none			6			idle		    St. Augustine			    22
  22		34			6			dispatched		    St. Augustine			    22
  22		34			6			delivering		    Ft. Myers			    27
  22		38			4			delivering		    Tallahassee			    31
  23		39			5			delivering		    Lake City			    25
  24		none			3			idle		    Key West			    24
  24		36			1			delivering		    Orlando				26
  24		33			3			dispatched		    Miami				27
  25		none			5			idle		    Lake City			    25
  25		32			5			dispatched		    Tampa				29
  25		35			2			delivering		    Ocala				31
  26		none			1			idle		    Orlando				26
  27		none			6			idle		    Ft. Myers			    27
  27		33			3			delivering		    Key West			    30
  28		41			7			delivering		    Key West			    40
  29		32			5			delivering		    Tallahassee			    35
  30		none			3			idle		    Key West			    30
  30		31			1			dispatched		    Miami				35
  31		none			2			idle		    Ocala				31
  31		none			4			idle		    Tallahassee			    31
  35		none			5			idle		    Tallahassee			    35
  35		29			6			dispatched		    West Palm			    38
  35		30			5			dispatched		    Orlando				40
  35		31			1			delivering		    Gainesville			    41
  38		29			6			delivering		    Ft. Myers			    41
  40		none			7			idle		    Key West			    40
  40		30			5			delivering		    Lake City			    43
  40		37			7			dispatched		    St. Augustine			    48
  40		27			3			dispatched		    Ocala				49
  41		none			1			idle		    Gainesville			    41
  41		none			6			idle		    Ft. Myers			    41
  41		28			6			dispatched		    Miami				46
  43		none			5			idle		    Lake City			    43
  43		26			5			dispatched		    Jacksonville			    44
  44		26			5			delivering		    Key West			    53
  45		25			2			dispatched		    St. Augustine			    47
  46		28			6			delivering		    Orlando				51
  47		25			2			delivering		    Ft. Myers			    52
  48		37			7			delivering		    Tallahassee			    52
  49		27			3			delivering		    Orlando				50
  50		none			3			idle		    Orlando				50
  50		23			4			dispatched		    Jacksonville			    53
  50		24			1			dispatched		    Tallahassee			    53
  51		none			6			idle		    Orlando				51
  52		none			2			idle		    Ft. Myers			    52
  52		none			7			idle		    Tallahassee			    52
  53		none			5			idle		    Key West			    53
  53		23			4			delivering		    Tallahassee			    56
  53		24			1			delivering		    Gainesville			    56
  55		20			3			dispatched		    West Palm			    58
  55		22			7			dispatched		    Jacksonville			    58
  55		21			6			dispatched		    Key West			    63
  56		none			4			idle		    Tallahassee			    56
  56		none			1			idle		    Gainesville			    56
  58		20			3			delivering		    St. Augustine			    61
  58		22			7			delivering		    Key West			    67
  60		18			5			dispatched		    St. Augustine			    68
  61		none			3			idle		    St. Augustine			    61
  63		21			6			delivering		    St. Augustine			    71
  65		16			2			dispatched		    Gainesville			    70
  67		none			7			idle		    Key West			    67
  67		19			7			dispatched		    Gainesville			    76
  68		18			5			delivering		    Ft. Myers			    73
  70		16			2			delivering		    Orlando				72
  70		15			1			dispatched		    Miami				76
  71		none			6			idle		    St. Augustine			    71
  71		17			6			dispatched		    Tampa				74
  72		none			2			idle		    Orlando				72
  73		none			5			idle		    Ft. Myers			    73
  73		14			5			dispatched		    West Palm			    76
  74		17			6			delivering		    Tallahassee			    80
