Report Generated:
 Time		Package No.		Truck No.		Action		     Location		       Arrival Time 
  1		2			3			dispatched		    Gainesville			    2
  1		1			1			dispatched		    Orlando				2
  2		2			3			delivering		    Jacksonville			    4
  2		1			1			delivering		    Jacksonville			    5
  3		4			2			dispatched		    Jacksonville			    6
  3		3			4			dispatched		    St. Augustine			    6
  4		none			3			idle		    Jacksonville			    4
  4		5			6			dispatched		    West Palm			    8
  4		6			5			dispatched		    Key West			    12
  5		none			1			idle		    Jacksonville			    5
  5		7			7			dispatched		    Gainesville			    8
  6		3			4			delivering		    Ft. Myers			    11
  6		4			2			delivering		    Key West			    15
  7		8			8			dispatched		    Miami				7
  7		8			8			delivering		    Gainesville			    13
  8		10			10			dispatched		    Jacksonville			    8
  8		11			3			dispatched		    Jacksonville			    8
  8		5			6			delivering		    St. Augustine			    11
  8		7			7			delivering		    Tallahassee			    11
  8		10			10			delivering		    Orlando				11
  8		9			9			dispatched		    Miami				13
  8		11			3			delivering		    Miami				14
  9		12			1			dispatched		    Ft. Myers			    15
  11		none			10			idle		    Orlando				11
  11		none			7			idle		    Tallahassee			    11
  11		none			6			idle		    St. Augustine			    11
  11		none			4			idle		    Ft. Myers			    11
  11		13			6			dispatched		    Orlando				13
  11		16			10			dispatched		    Gainesville			    13
  11		14			4			dispatched		    West Palm			    14
  11		15			7			dispatched		    Miami				20
  12		6			5			delivering		    St. Augustine			    20
  13		none			8			idle		    Gainesville			    13
  13		16			10			delivering		    Orlando				15
  13		17			8			dispatched		    Tampa				16
  13		13			6			delivering		    Key West			    21
  13		9			9			delivering		    Tallahassee			    22
  14		none			3			idle		    Miami				14
  14		14			4			delivering		    Miami				16
  14		18			3			dispatched		    St. Augustine			    19
  15		none			2			idle		    Key West			    15
  15		none			10			idle		    Orlando				15
  15		19			10			dispatched		    Gainesville			    17
  15		12			1			delivering		    Key West			    23
  16		none			4			idle		    Miami				16
  16		22			4			dispatched		    Jacksonville			    22
  16		17			8			delivering		    Tallahassee			    22
  17		19			10			delivering		    Tallahassee			    20
  19		18			3			delivering		    Ft. Myers			    24
  20		none			10			idle		    Tallahassee			    20
  20		none			5			idle		    St. Augustine			    20
  20		23			5			dispatched		    Jacksonville			    21
  20		15			7			delivering		    Ocala				26
  20		20			10			dispatched		    West Palm			    27
  21		none			6			idle		    Key West			    21
  21		21			6			dispatched		    Key West			    21
  21		23			5			delivering		    Tallahassee			    24
  21		21			6			delivering		    St. Augustine			    29
  22		24			8			dispatched		    Tallahassee			    22
  22		none			8			idle		    Tallahassee			    22
  22		none			9			idle		    Tallahassee			    22
  22		24			8			delivering		    Gainesville			    25
  22		22			4			delivering		    Key West			    31
  23		none			1			idle		    Key West			    23
  23		25			9			dispatched		    St. Augustine			    27
  24		none			5			idle		    Tallahassee			    24
  24		none			3			idle		    Ft. Myers			    24
  25		none			8			idle		    Gainesville			    25
  25		26			1			dispatched		    Jacksonville			    34
  26		none			7			idle		    Ocala				26
  27		20			10			delivering		    St. Augustine			    30
  27		27			3			dispatched		    Ocala				31
  27		25			9			delivering		    Ft. Myers			    32
  28		28			2			dispatched		    Miami				31
  29		none			6			idle		    St. Augustine			    29
  30		none			10			idle		    St. Augustine			    30
  30		29			8			dispatched		    West Palm			    34
  31		none			4			idle		    Key West			    31
  31		27			3			delivering		    Orlando				32
  31		28			2			delivering		    Orlando				36
